year,ISO3,ADM0_FR,ADM0_PCODE,ADM1_FR,ADM1_PCODE,ADM2_FR,ADM2_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2023,RWA,Rwanda,RW,Eastern Province,RW5,Bugesera,RW57,236613,232495,469108,32472,30985,26669,23226,21719,18681,19489,16767,12116,8879,6762,6228,5222,3819,1965,961,653,33454,31847,28012,24455,22562,18970,18601,15771,10812,7439,5209,4862,4543,3078,1800,671,409,65926,62832,54681,47681,44281,37651,38090,32538,22928,16318,11971,11090,9765,6897,3765,1632,1062
2023,RWA,Rwanda,RW,Eastern Province,RW5,Gatsibo,RW53,348552,332062,680614,44454,46617,44999,37464,29436,23787,23795,26220,20630,14730,9830,8472,6709,5497,3177,1527,1208,44806,47314,45911,38555,30524,23077,21404,22868,17147,11854,7884,7071,5640,3982,2464,944,617,89260,93931,90910,76019,59960,46864,45199,49088,37777,26584,17714,15543,12349,9479,5641,2471,1825
2023,RWA,Rwanda,RW,Eastern Province,RW5,Kayonza,RW54,277298,267910,545208,36097,36528,34039,29007,24813,19190,20541,21149,15902,11460,7424,6405,5355,4572,2517,1349,950,37430,37533,35775,30288,24201,18778,18931,19175,13334,9263,6162,5454,4553,3709,1972,824,528,73527,74061,69814,59295,49014,37968,39472,40324,29236,20723,13586,11859,9908,8281,4489,2173,1478
2023,RWA,Rwanda,RW,Eastern Province,RW5,Kirehe,RW55,241160,230118,471278,30422,32532,30087,24878,21660,17743,16859,17484,13484,10278,7070,6123,4896,3981,1907,1000,756,31532,32642,30932,26349,21335,16162,14733,16081,11334,8034,5693,4964,4173,3317,1697,718,422,61954,65174,61019,51227,42995,33905,31592,33565,24818,18312,12763,11087,9069,7298,3604,1718,1178
2023,RWA,Rwanda,RW,Eastern Province,RW5,Ngoma,RW56,230804,218208,449012,30312,29509,25764,22771,20707,17244,17317,17374,13438,9940,6934,5960,4785,4129,2442,1338,840,31560,30647,26638,23456,19517,14901,15349,15334,11287,8092,5496,4962,4232,3384,2072,798,483,61872,60156,52402,46227,40224,32145,32666,32708,24725,18032,12430,10922,9017,7513,4514,2136,1323
2023,RWA,Rwanda,RW,Eastern Province,RW5,Nyagatare,RW52,458046,459008,917054,61603,62159,61367,49317,39957,32880,31953,35038,25220,17828,11823,9304,7553,5929,3142,1628,1345,63581,63629,63120,53464,41215,33497,29894,32199,23688,16926,11327,8930,7378,5288,2902,1209,761,125184,125788,124487,102781,81172,66377,61847,67237,48908,34754,23150,18234,14931,11217,6044,2837,2106
2023,RWA,Rwanda,RW,Eastern Province,RW5,Rwamagana,RW51,210096,205821,415917,27084,25734,22979,21400,18944,15552,15758,16839,12804,9214,5907,5230,4583,3835,2215,1211,807,27605,26364,23540,23100,19843,15932,15901,15808,11381,7991,5032,4415,3660,2625,1595,664,365,54689,52098,46519,44500,38787,31484,31659,32647,24185,17205,10939,9645,8243,6460,3810,1875,1172
2023,RWA,Rwanda,RW,Kigali City,RW1,Gasabo,RW12,432099,483707,915806,57912,45069,40997,48602,55448,46663,39826,33611,21985,14163,7754,6344,4936,3857,2429,1390,1113,59194,46599,40497,44426,61531,60449,55241,45158,27075,16658,8896,7096,4924,3114,1729,716,404,117106,91668,81494,93028,116979,107112,95067,78769,49060,30821,16650,13440,9860,6971,4158,2106,1517
2023,RWA,Rwanda,RW,Kigali City,RW1,Kicukiro,RW13,235398,256066,491464,27593,23804,23876,30060,30694,25282,21996,19209,11920,7308,3971,2986,2186,2014,1226,718,555,28240,24277,24320,25831,33656,30268,27885,24859,15546,8565,4431,3178,2151,1490,803,369,197,55833,48081,48196,55891,64350,55550,49881,44068,27466,15873,8402,6164,4337,3504,2029,1087,752
2023,RWA,Rwanda,RW,Kigali City,RW1,Nyarugenge,RW11,170580,186981,357561,21402,17902,17060,20412,20793,17801,15912,13533,9005,5452,3117,2692,2080,1578,983,473,385,21526,18589,17329,18883,23266,22266,21151,17272,10457,6004,3305,2588,2044,1340,569,253,139,42928,36491,34389,39295,44059,40067,37063,30805,19462,11456,6422,5280,4124,2918,1552,726,524
