year,ISO3,ADM0_FR,ADM0_PCODE,ADM1_FR,ADM1_PCODE,ADM2_FR,ADM2_PCODE,ADM3_FR,ADM3_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2023,RWA,Rwanda,RW,Eastern Province,RW5,Bugesera,RW57,Gashora,RW5701,14784,14463,29247,2063,1899,1851,1486,1335,1098,1124,1025,771,578,451,367,305,197,123,71,40,2079,2038,2040,1584,1315,1073,1051,924,689,454,312,315,285,164,79,35,26,4142,3937,3891,3070,2650,2171,2175,1949,1460,1032,763,682,590,361,202,106,66
2023,RWA,Rwanda,RW,Eastern Province,RW5,Bugesera,RW57,Juru,RW5702,13495,13014,26509,1839,1792,1583,1312,1181,1095,1162,1009,632,497,351,339,349,179,104,47,24,1912,1806,1641,1379,1172,1062,1038,935,542,347,296,272,283,187,93,30,19,3751,3598,3224,2691,2353,2157,2200,1944,1174,844,647,611,632,366,197,77,43
2023,RWA,Rwanda,RW,Eastern Province,RW5,Bugesera,RW57,Kamabuye,RW5703,11619,11005,22624,1523,1533,1320,1248,1089,773,855,690,654,465,362,375,306,168,134,67,57,1533,1579,1438,1360,1089,727,736,642,472,340,244,259,259,155,103,40,29,3056,3112,2758,2608,2178,1500,1591,1332,1126,805,606,634,565,323,237,107,86
2023,RWA,Rwanda,RW,Eastern Province,RW5,Bugesera,RW57,Mareba,RW5704,12336,11383,23719,1595,1633,1359,1194,1032,958,1152,824,608,470,392,368,308,237,107,68,31,1698,1658,1483,1186,978,930,956,729,461,369,209,224,205,171,77,32,17,3293,3291,2842,2380,2010,1888,2108,1553,1069,839,601,592,513,408,184,100,48
2023,RWA,Rwanda,RW,Eastern Province,RW5,Bugesera,RW57,Mayange,RW5705,27972,30789,58761,3816,3497,2797,2892,2884,2315,2242,1994,1326,901,776,794,712,564,255,118,89,4003,3708,3021,3155,3380,2919,2387,2238,1467,1061,799,761,790,575,331,125,69,7819,7205,5818,6047,6264,5234,4629,4232,2793,1962,1575,1555,1502,1139,586,243,158
2023,RWA,Rwanda,RW,Eastern Province,RW5,Bugesera,RW57,Musenyi,RW5706,19506,18219,37725,2815,2656,1918,1750,1568,1591,1713,1449,1080,862,551,501,420,326,172,81,53,2762,2816,2042,1786,1550,1407,1532,1259,941,634,387,354,284,235,132,58,40,5577,5472,3960,3536,3118,2998,3245,2708,2021,1496,938,855,704,561,304,139,93
2023,RWA,Rwanda,RW,Eastern Province,RW5,Bugesera,RW57,Mwogo,RW5707,11860,11608,23468,1672,1561,1270,1078,1081,1007,1054,807,587,414,342,364,284,192,88,42,17,1698,1658,1283,1074,1119,1040,1044,773,580,312,219,265,242,143,112,31,15,3370,3219,2553,2152,2200,2047,2098,1580,1167,726,561,629,526,335,200,73,32
2023,RWA,Rwanda,RW,Eastern Province,RW5,Bugesera,RW57,Ngeruka,RW5708,17036,15956,32992,2311,2411,2156,1533,1397,1143,1409,1152,877,598,501,500,438,324,161,67,58,2376,2357,2187,1720,1365,1145,1191,999,721,485,310,320,313,244,152,45,26,4687,4768,4343,3253,2762,2288,2600,2151,1598,1083,811,820,751,568,313,112,84
2023,RWA,Rwanda,RW,Eastern Province,RW5,Bugesera,RW57,Ntarama,RW5709,10444,10648,21092,1557,1363,965,960,999,915,895,818,565,413,289,221,201,143,82,36,22,1658,1400,1027,1048,1112,916,956,733,551,346,265,234,190,107,69,24,12,3215,2763,1992,2008,2111,1831,1851,1551,1116,759,554,455,391,250,151,60,34
2023,RWA,Rwanda,RW,Eastern Province,RW5,Bugesera,RW57,Nyamata,RW5710,29654,30830,60484,4108,3466,3051,3191,3274,2617,2372,2327,1495,1005,688,660,513,450,226,129,82,4001,3583,3169,3418,3711,2828,2748,2394,1547,1042,668,527,496,340,217,87,54,8109,7049,6220,6609,6985,5445,5120,4721,3042,2047,1356,1187,1009,790,443,216,136
